Unnamed: 0,Date,Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirupati balaji.ap.gov.in,temperature,weekday,conditions,Special_day,condition_encoded
0,01-01-2022,36560,14084.0,2.15,43,23,16,9,0,0,71.6,1,Light drizzle,New Years Day,3
1,02-01-2022,38894,12270.0,3.93,41,25,14,9,0,0,74.84,1,Overcast,"Amavasya, Sravanam, Tirupati Sri G.T Adhyayanotsavam Begins",8
2,03-01-2022,31776,16046.0,2.69,40,19,0,5,0,7,73.22,0,Moderate drizzle,"Maha Sivaratri, Tirupati Sri KT Nandi Vahanam",6
3,04-01-2022,31523,14692.0,2.45,45,17,22,16,0,0,73.75999999999999,0,Overcast,Amavasya,8
4,05-01-2022,32044,17558.0,2.61,32,14,21,10,0,7,73.94,0,Overcast,May Day,8
5,06-01-2022,29652,14916.0,2.75,33,13,0,3,25,8,75.2,0,Overcast,"Buddha Jayanthi, Karvetinagaram Sri VGS Pushpayagam",8
6,07-01-2022,62856,22115.0,2.21,40,19,0,7,0,7,75.74000000000001,0,Overcast,normal,8
7,08-01-2022,33619,15769.0,2.42,36,20,11,11,0,0,75.2,1,Light drizzle,Naga Chaturthi,3
8,09-01-2022,32235,15003.0,3.19,33,15,0,9,21,0,76.46000000000001,1,Overcast,Rushi Panchami,8
9,10-01-2022,32242,15715.0,2.71,35,15,0,8,0,8,76.1,0,Overcast,Tirumala Sri TT Garuda Sava,8
10,11-01-2022,23744,12017.0,2.5,32,16,32,7,25,13,76.82,0,Light drizzle,"Sravanam, Tirumala Sri TT Pushpa Yagam",3
11,12-01-2022,25524,13052.0,1.59,34,19,0,9,0,0,77.0,0,Light drizzle,normal,3
12,13-01-2022,46118,10594.0,4.09,30,18,17,11,0,0,76.82,0,Light rain,"Vaikunta Ekadasi, Sri T.T Vaikunta Dwara Darsanam Begins, Krittika,",4
13,14-01-2022,37304,9645.0,2.13,25,14,0,6,44,12,76.64,0,Light drizzle,Bhogi,3
14,15-01-2022,34375,11156.0,2.92,30,15,0,11,41,0,73.94,1,Moderate drizzle,"Makara Sankranthi, Sanitrayodashi",6
15,16-01-2022,35642,11178.0,2.77,27,16,20,3,47,0,72.86,1,Light drizzle,"Kanuma, Sri Godadevi Parinayotsavam",3
