Date,Piligrims,Tonsures,Hundi,Special Day,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,Special Day Weighted,Piligrims_7Day_Avg,Festival Intensity
01-01-2022,36560,14084.0,2.15,1,43,23,16,9,0,0,0,1.0336141322534529,36560.0,36560.0
02-01-2022,38894,12270.0,3.93,1,41,25,14,9,0,0,0,1.0336141322534529,37727.0,37727.0
03-01-2022,31776,16046.0,2.69,0,40,19,0,5,0,0,7,1.0,35743.333333333336,0.0
04-01-2022,31523,14692.0,2.45,0,45,17,22,16,0,0,0,1.0,34688.25,0.0
05-01-2022,32044,17558.0,2.61,0,32,14,21,10,0,18,7,1.0,34159.4,0.0
06-01-2022,29652,14916.0,2.75,0,33,13,0,3,25,11,8,1.0,33408.166666666664,0.0
07-01-2022,62856,22115.0,2.21,1,40,19,0,7,0,0,7,1.0336141322534529,37615.0,37615.0
08-01-2022,33619,15769.0,2.42,1,36,20,11,11,0,0,0,1.0336141322534529,37194.857142857145,37194.857142857145
09-01-2022,32235,15003.0,3.19,1,33,15,0,9,21,0,0,1.0336141322534529,36243.57142857143,36243.57142857143
10-01-2022,32242,15715.0,2.71,1,35,15,0,8,0,0,8,1.0336141322534529,36310.142857142855,36310.142857142855
11-01-2022,23744,12017.0,2.5,1,32,16,32,7,25,9,13,1.0336141322534529,35198.857142857145,35198.857142857145
12-01-2022,25524,13052.0,1.59,1,34,19,0,9,0,9,0,1.0336141322534529,34267.42857142857,34267.42857142857
13-01-2022,46118,10594.0,4.09,1,30,18,17,11,0,14,0,1.0336141322534529,36619.71428571428,36619.71428571428
14-01-2022,37304,9645.0,2.13,1,25,14,0,6,44,11,12,1.0336141322534529,32969.42857142857,32969.42857142857
15-01-2022,34375,11156.0,2.92,1,30,15,0,11,41,32,0,1.0336141322534529,33077.42857142857,33077.42857142857
16-01-2022,35642,11178.0,2.77,1,27,16,20,3,47,0,0,1.0336141322534529,33564.142857142855,33564.142857142855
17-01-2022,35333,12252.0,2.52,1,29,13,0,8,0,21,0,1.0336141322534529,34005.71428571428,34005.71428571428
18-01-2022,33971,11356.0,2.62,1,30,13,34,2,0,0,0,1.0336141322534529,35466.71428571428,35466.71428571428
19-01-2022,34187,13279.0,2.11,0,29,16,0,7,0,11,12,1.0,36704.28571428572,0.0
20-01-2022,36092,13738.0,2.58,0,32,18,0,12,23,33,0,1.0,35272.0,0.0
21-01-2022,39440,13692.0,2.53,0,34,21,0,12,0,0,0,1.0,35577.142857142855,0.0
22-01-2022,45481,15909.0,2.33,0,39,25,0,12,0,28,0,1.0,37163.71428571428,0.0
23-01-2022,27895,13631.0,3.48,0,34,19,0,17,0,22,0,1.0,36057.0,0.0
24-01-2022,27223,14624.0,1.87,0,32,18,15,12,17,26,8,1.0,34898.42857142857,0.0
25-01-2022,28745,13553.0,2.14,0,33,18,17,16,32,13,0,1.0,34151.857142857145,0.0
26-01-2022,27446,13403.0,1.77,1,34,21,15,20,0,31,10,1.0336141322534529,33188.857142857145,33188.857142857145
27-01-2022,27536,13635.0,2.09,0,36,21,0,10,0,22,42,1.0,31966.571428571428,0.0
28-01-2022,24888,12650.0,2.1,0,60,54,35,45,0,55,76,1.0,29887.714285714286,0.0
29-01-2022,28234,12466.0,2.3,0,66,61,12,61,0,78,89,1.0,27423.85714285714,0.0
30-01-2022,27896,11135.0,2.41,0,39,20,0,13,58,16,10,1.0,27424.0,0.0
31-01-2022,26401,12401.0,2.18,0,37,20,13,12,0,11,21,1.0,27306.571428571428,0.0
01-02-2022,29496,12210.0,1.97,1,37,18,0,16,0,18,17,1.0336141322534529,27413.85714285714,27413.85714285714
02-02-2022,29026,15110.0,2.18,1,34,18,0,9,21,7,0,1.0336141322534529,27639.571428571428,27639.571428571428
03-02-2022,31167,15701.0,1.83,1,36,17,0,16,0,18,10,1.0336141322534529,28158.285714285714,28158.285714285714
04-02-2022,28410,14831.0,2.08,1,40,18,15,13,17,20,12,1.0336141322534529,28661.428571428572,28661.428571428572
05-02-2022,34632,16399.0,2.19,1,41,19,0,7,66,6,0,1.0336141322534529,29575.428571428572,29575.428571428572
