,Date,Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,is_normal,is_Nagulapuram Sri Vedanarayanaswamivari Brahmotsavam,is_Devuni Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams,days_until_next_festival,days_since_last_festival
0,2022-01-01,36560,14084,2.15,43,23,16,9,0,0,0,1308,71.6,1640975400.0,1,1,42879.46222627737,0,0,0,0.0,1.0
1,2022-01-02,38894,12270,3.93,41,25,14,9,0,0,0,839,74.84,1641061800.0,1,1,63674.21778183293,0,0,0,1.0,1.0
2,2022-01-03,31776,16046,2.69,40,19,0,5,0,0,7,1621,73.22,1641148200.0,0,1,68156.49102312156,1,0,0,1.0,1.0
3,2022-01-04,31523,14692,2.45,45,17,22,16,0,0,0,839,73.75999999999999,1641234600.0,0,1,68156.49102312156,1,0,0,1.0,1.0
4,2022-01-05,32044,17558,2.61,32,14,21,10,0,18,7,839,73.94,1641321000.0,0,1,68156.49102312156,1,0,0,1.0,1.0
5,2022-01-06,29652,14916,2.75,33,13,0,3,25,11,8,839,75.2,1641407400.0,0,1,68156.49102312156,1,0,0,1.0,1.0
6,2022-01-07,62856,22115,2.21,40,19,0,7,0,0,7,839,75.74000000000001,1641493800.0,0,1,41660.795559610706,0,0,0,1.0,1.0
7,2022-01-08,33619,15769,2.42,36,20,11,11,0,0,0,1308,75.2,1641580200.0,1,1,41660.795559610706,0,0,0,1.0,1.0
8,2022-01-09,32235,15003,3.19,33,15,0,9,21,0,0,839,76.46000000000001,1641666600.0,1,1,41660.795559610706,0,0,0,1.0,1.0
9,2022-01-10,32242,15715,2.71,35,15,0,8,0,0,8,839,76.1,1641753000.0,0,1,41660.795559610706,0,0,0,1.0,1.0
10,2022-01-11,23744,12017,2.5,32,16,32,7,25,9,13,1308,76.82,1641839400.0,0,1,41660.795559610706,0,0,0,1.0,1.0
11,2022-01-12,25524,13052,1.59,34,19,0,9,0,9,0,1308,77.0,1641925800.0,0,1,41660.795559610706,0,0,0,1.0,1.0
12,2022-01-13,46118,10594,4.09,30,18,17,11,0,14,0,962,76.82,1642012200.0,0,2,50525.86222627737,0,0,0,1.0,1.0
13,2022-01-14,37304,9645,2.13,25,14,0,6,44,11,12,1308,76.64,1642098600.0,0,2,43474.662226277374,0,0,0,1.0,1.0
14,2022-01-15,34375,11156,2.92,30,15,0,11,41,32,0,1621,73.94,1642185000.0,1,1,63960.26222627737,0,0,0,1.0,1.0
15,2022-01-16,35642,11178,2.77,27,16,20,3,47,0,0,1308,72.86,1642271400.0,1,2,58411.062226277376,0,0,0,1.0,1.0
16,2022-01-17,35333,12252,2.52,29,13,0,8,0,21,0,1621,70.88,1642357800.0,0,2,59100.662226277374,0,0,0,1.0,1.0
17,2022-01-18,33971,11356,2.62,30,13,34,2,0,0,0,1621,72.68,1642444200.0,0,1,40808.26222627737,0,0,0,1.0,1.0
18,2022-01-19,34187,13279,2.11,29,16,0,7,0,11,12,839,75.74000000000001,1642530600.0,0,1,68156.49102312156,1,0,0,1.0,1.0
19,2022-01-20,36092,13738,2.58,32,18,0,12,23,33,0,839,78.44,1642617000.0,0,1,68156.49102312156,1,0,0,1.0,1.0
20,2022-01-21,39440,13692,2.53,34,21,0,12,0,0,0,839,84.2,1642703400.0,0,1,68156.49102312156,1,0,0,1.0,1.0
21,2022-01-22,45481,15909,2.33,39,25,0,12,0,28,0,839,84.2,1642789800.0,1,1,68156.49102312156,1,0,0,1.0,1.0
22,2022-01-23,27895,13631,3.48,34,19,0,17,0,22,0,839,82.4,1642876200.0,1,1,68156.49102312156,1,0,0,1.0,1.0
23,2022-01-24,27223,14624,1.87,32,18,15,12,17,26,8,839,79.88,1642962600.0,0,1,68156.49102312156,1,0,0,1.0,1.0
24,2022-01-25,28745,13553,2.14,33,18,17,16,32,13,0,1621,79.52,1643049000.0,0,1,68156.49102312156,1,0,0,1.0,1.0
25,2022-01-26,27446,13403,1.77,34,21,15,20,0,31,10,1308,73.75999999999999,1643135400.0,0,1,35588.26222627737,0,0,0,1.0,1.0
26,2022-01-27,27536,13635,2.09,36,21,0,10,0,22,42,1308,72.5,1643221800.0,0,1,68156.49102312156,1,0,0,1.0,1.0
27,2022-01-28,24888,12650,2.1,60,54,35,45,0,55,76,1308,74.12,1643308200.0,0,1,68156.49102312156,1,0,0,1.0,1.0
