,Date,Piligrims,Tonsures,Hundi,Special Day
365,01-01-2023,78460,29182.0,4.03,New year
366,02-01-2023,53101,23843.0,3.48,Vaikunta Ekadasi
367,03-01-2023,69414,18612.0,7.68,Sri Swami Pushkarini Theertha Mukkoti
368,04-01-2023,71924,15771.0,3.13,normal
369,05-01-2023,61116,18004.0,4.19,normal
370,06-01-2023,47781,15695.0,2.1,Purnima
371,07-01-2023,45887,17702.0,4.53,Sri Andal Neeraattotsavam
372,08-01-2023,62856,22115.0,2.21,Sri Andal Neeraattotsavam
373,09-01-2023,67169,21222.0,3.86,Sri Andal Neeraattotsavam
374,10-01-2023,56003,20365.0,3.89,Sri Andal Neeraattotsavam
375,11-01-2023,58184,16122.0,4.2,"Sri Andal Neeraattotsavam , Sri Thyagarajaswami Aaradhana"
376,12-01-2023,68855,21280.0,3.61,Sri Andal Neeraattotsavam
377,13-01-2023,68354,24159.0,3.59,Sri Andal Neeraattotsavam
378,14-01-2023,59090,21054.0,3.37,Bhogi
379,15-01-2023,73394,27492.0,4.22,Makara Sankranthi
380,16-01-2023,76307,29573.0,3.41,"Kanuma, Sri Godadevi Parinayotsavam"
381,16-01-2023,69804,29615.0,3.54,normal
382,17-01-2023,74236,27269.0,4.19,normal
383,18-01-2023,76229,31381.0,3.46,normal
384,19-01-2023,67511,26948.0,4.33,normal
385,21-01-2023,78158,27090.0,3.73,"Sri Purandaradasa Aradhanaotsavam , Amavasya"
386,22-01-2023,72998,24852.0,4.51,Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams
387,23-01-2023,70413,32206.0,3.37,Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams
388,24-01-2023,69221,24409.0,5.45,Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams
389,25-01-2023,67493,24958.0,4.82,Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams
390,26-01-2023,58379,28950.0,3.73,"Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams , Vasantha panchami, Republic Day"
391,27-01-2023,59695,30286.0,4.06,Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams
392,28-01-2023,80094,32219.0,3.15,"Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams ,  Rathasapthami, Bhishma Ashtami"
393,29-01-2023,78639,25131.0,4.16,Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams
394,30-01-2023,74242,25862.0,4.08,Dvibhuven Kadapa Sri Lakshmi Venkateswaraswamivari Brahmotsavams
395,31-01-2023,60939,20203.0,5.17,normal
396,01-02-2023,61368,25578.0,3.96,Bhishma Ekadasi
397,02-02-2023,60609,23394.0,3.13,normal
398,03-02-2023,57147,26094.0,3.78,normal
399,04-02-2023,72226,30877.0,4.74,normal
400,05-02-2023,78340,27063.0,4.3,"Sri Ramakrishna Mukkoti , Purnima"
401,06-02-2023,71496,26908.0,5.33,normal
402,07-02-2023,65297,23975.0,3.87,normal
403,08-02-2023,63315,25259.0,5.07,normal
404,09-02-2023,59090,22593.0,4.03,normal
405,10-02-2023,57702,27482.0,3.43,normal
406,11-02-2023,75728,38092.0,4.15,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams"
407,12-02-2023,80969,26777.0,4.18,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams"
408,13-02-2023,71434,24212.0,3.78,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams"
409,14-02-2023,70789,21215.0,4.13,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams"
410,15-02-2023,66033,25688.0,4.33,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams"
411,16-02-2023,54469,25484.0,3.85,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams"
412,17-02-2023,65633,23352.0,3.68,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams"
413,18-02-2023,71350,28912.0,3.47,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams ,  Mahasivaratri"
414,19-02-2023,79555,21504.0,4.44,"Srinivasa Mangapuram Sri Kalyana Venkateswaraswamivari Brahmotsavams ,Tirupati Sri Kapileswaraswamivari Brahmotsavams , chatrapati Shivaji Jayanthi"
415,20-02-2023,61374,19691.0,4.2,"Tirupati Sri Kapileswaraswamivari Brahmotsavams ,  Amavasya"
416,21-02-2023,53755,18267.0,4.74,normal
417,22-02-2023,62101,25896.0,3.37,normal
418,23-02-2023,57737,24090.0,3.28,normal
419,24-02-2023,61265,27078.0,3.33,normal
420,25-02-2023,76736,34132.0,3.63,normal
421,26-02-2023,81170,27236.0,4.23,normal
422,27-02-2023,71387,24701.0,5.71,normal
423,28-02-2023,59392,20714.0,4.14,Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams
424,01-03-2023,60931,24038.0,3.67,Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams
425,02-03-2023,60682,24291.0,3.32,Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams
426,03-03-2023,58137,26805.0,3.3,"Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams ,  Tirumala Srivari Float Festival"
427,04-03-2023,77522,32390.0,3.66,"Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams ,  Tirumala Srivari Float Festival"
428,05-03-2023,74994,25799.0,3.59,"Tarigonda Sri Lakshminarasimha Swamivari Brahmotsavams ,  Tirumala Srivari Float Festival"
