Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,holidays,Special Day Weighted,Piligrims_7Day_Avg,Festival intensity
36560,14084,2.15,43,23,16,9,0,0,0,1308,71.6,1640975400.0,1,1,42879.46222627737,1,1.0336141322534529,36560.0,36560.0
38894,12270,3.93,41,25,14,9,0,0,0,839,74.84,1641061800.0,1,1,63674.21778183293,1,1.0336141322534529,37727.0,37727.0
31776,16046,2.69,40,19,0,5,0,0,7,1621,73.22,1641148200.0,0,1,68156.49102312156,0,1.0,35743.333333333336,0.0
31523,14692,2.45,45,17,22,16,0,0,0,839,73.75999999999999,1641234600.0,0,1,68156.49102312156,0,1.0,34688.25,0.0
32044,17558,2.61,32,14,21,10,0,18,7,839,73.94,1641321000.0,0,1,68156.49102312156,0,1.0,34159.4,0.0
29652,14916,2.75,33,13,0,3,25,11,8,839,75.2,1641407400.0,0,1,68156.49102312156,0,1.0,33408.166666666664,0.0
62856,22115,2.21,40,19,0,7,0,0,7,839,75.74000000000001,1641493800.0,0,1,41660.79555961071,1,1.0336141322534529,37615.0,37615.0
33619,15769,2.42,36,20,11,11,0,0,0,1308,75.2,1641580200.0,1,1,41660.79555961071,1,1.0336141322534529,37194.857142857145,37194.857142857145
32235,15003,3.19,33,15,0,9,21,0,0,839,76.46000000000001,1641666600.0,1,1,41660.79555961071,1,1.0336141322534529,36243.57142857143,36243.57142857143
32242,15715,2.71,35,15,0,8,0,0,8,839,76.1,1641753000.0,0,1,41660.79555961071,1,1.0336141322534529,36310.142857142855,36310.142857142855
23744,12017,2.5,32,16,32,7,25,9,13,1308,76.82,1641839400.0,0,1,41660.79555961071,1,1.0336141322534529,35198.857142857145,35198.857142857145
25524,13052,1.59,34,19,0,9,0,9,0,1308,77.0,1641925800.0,0,1,41660.79555961071,1,1.0336141322534529,34267.42857142857,34267.42857142857
46118,10594,4.09,30,18,17,11,0,14,0,962,76.82,1642012200.0,0,2,50525.86222627737,1,1.0336141322534529,36619.71428571428,36619.71428571428
37304,9645,2.13,25,14,0,6,44,11,12,1308,76.64,1642098600.0,0,2,43474.662226277374,1,1.0336141322534529,32969.42857142857,32969.42857142857
34375,11156,2.92,30,15,0,11,41,32,0,1621,73.94,1642185000.0,1,1,63960.26222627737,1,1.0336141322534529,33077.42857142857,33077.42857142857
35642,11178,2.77,27,16,20,3,47,0,0,1308,72.86,1642271400.0,1,2,58411.062226277376,1,1.0336141322534529,33564.142857142855,33564.142857142855
35333,12252,2.52,29,13,0,8,0,21,0,1621,70.88,1642357800.0,0,2,59100.662226277374,1,1.0336141322534529,34005.71428571428,34005.71428571428
33971,11356,2.62,30,13,34,2,0,0,0,1621,72.68,1642444200.0,0,1,40808.26222627737,1,1.0336141322534529,35466.71428571428,35466.71428571428
34187,13279,2.11,29,16,0,7,0,11,12,839,75.74000000000001,1642530600.0,0,1,68156.49102312156,0,1.0,36704.28571428572,0.0
36092,13738,2.58,32,18,0,12,23,33,0,839,78.44,1642617000.0,0,1,68156.49102312156,0,1.0,35272.0,0.0
39440,13692,2.53,34,21,0,12,0,0,0,839,84.2,1642703400.0,0,1,68156.49102312156,0,1.0,35577.142857142855,0.0
45481,15909,2.33,39,25,0,12,0,28,0,839,84.2,1642789800.0,1,1,68156.49102312156,0,1.0,37163.71428571428,0.0
27895,13631,3.48,34,19,0,17,0,22,0,839,82.4,1642876200.0,1,1,68156.49102312156,0,1.0,36057.0,0.0
27223,14624,1.87,32,18,15,12,17,26,8,839,79.88,1642962600.0,0,1,68156.49102312156,0,1.0,34898.42857142857,0.0
28745,13553,2.14,33,18,17,16,32,13,0,1621,79.52,1643049000.0,0,1,68156.49102312156,0,1.0,34151.857142857145,0.0
27446,13403,1.77,34,21,15,20,0,31,10,1308,73.75999999999999,1643135400.0,0,1,35588.26222627737,1,1.0336141322534529,33188.857142857145,33188.857142857145
